,0
2023-06-12,1444933798.7431462
2023-06-13,1453968797.893146
2023-06-14,1464854198.8931465
2023-06-15,1535695409.1197085
2023-06-16,1577636749.2197087
2023-06-19,1550901387.7197087
2023-06-20,1560501619.0197086
2023-06-21,1577294478.9197087
2023-06-26,1563448321.5604837
2023-06-27,1509797236.6104836
2023-06-28,1499490945.6104841
2023-06-29,1518563547.2947838
2023-06-30,1509978829.3947835
2023-07-03,1538853366.5943584
2023-07-04,1543526476.3943586
2023-07-05,1516721964.816669
2023-07-06,1526729977.9222767
2023-07-07,1515239636.4722757
2023-07-10,1559072474.7222762
2023-07-11,1598572352.2202945
2023-07-12,1672811000.220295
2023-07-13,1689724002.670295
2023-07-14,1784604521.9702947
2023-07-17,1839794969.8617926
2023-07-18,1805473862.5387375
2023-07-19,1750888564.9823298
2023-07-20,1813091318.5470903
2023-07-21,1873751080.7625456
2023-07-24,1875803313.9063127
2023-07-25,1900117203.995305
2023-07-26,1895331625.5453048
2023-07-27,1921576039.2953048
2023-07-28,1958443668.995305
2023-07-31,1928629233.3953052
2023-08-01,1842055972.4203348
2023-08-02,1739579479.970335
2023-08-04,1772858956.3210166
2023-08-07,1818873956.4644506
2023-08-08,1823338293.1309147
2023-08-09,1836373889.2103724
2023-08-10,1734070537.0103724
2023-08-11,1754993712.4903724
2023-08-14,1684029547.6681428
2023-08-15,1780069743.859862
2023-08-16,1844784158.1930897
2023-08-17,1908433697.457052
2023-08-18,1853095283.470502
2023-08-21,1923946185.150252
2023-08-22,2032740826.4069896
2023-08-23,2047519753.710652
2023-08-24,2072410671.896177
2023-08-25,2047975756.214802
2023-08-28,1983792134.7716022
2023-08-29,2046642654.0388896
2023-08-30,2068119995.5497897
2023-08-31,2103250745.350577
2023-09-01,2056075008.533837
2023-09-04,2095369640.3838372
2023-09-05,2052485361.641162
2023-09-06,2069697692.1578872
2023-09-07,2064900004.9243867
2023-09-08,2062164822.9376872
2023-09-11,1970793734.687687
2023-09-12,1984264966.8890872
2023-09-13,1933882976.2890868
2023-09-14,1923876217.8890872
2023-09-15,1931061115.339087
2023-09-18,1866965522.7890868
2023-09-19,1851774900.2352347
2023-09-20,1835260568.1961348
2023-09-21,1818893686.251325
2023-09-22,1833793453.641752
2023-09-25,1846861748.402392
2023-09-26,1831426726.758097
2023-09-27,1858963143.3080971
2023-09-28,1881755282.3775058
2023-10-02,1904120907.412216
2023-10-03,1894027762.712216
2023-10-04,1893549535.6122158
2023-10-05,1924292973.3122158
2023-10-06,1934807684.1622157
2023-10-11,1946524594.6957536
2023-10-12,1953853552.3228562
2023-10-13,1950653576.6786685
2023-10-16,1947484026.978668
2023-10-17,1932507756.5019681
2023-10-18,1902631735.311326
2023-10-19,1898880334.7271135
2023-10-20,1885046153.7839198
2023-10-23,1882343133.0271971
2023-10-24,1882230163.7089849
2023-10-25,1883107277.5492349
2023-10-26,1872014402.0886135
2023-10-27,1877334901.749376
2023-10-30,1911303671.240951
2023-10-31,1906057055.115551
2023-11-01,1919199846.4682689
2023-11-02,1939155442.3489602
2023-11-03,1938688906.778742
2023-11-06,2009893258.6226737
2023-11-07,2067517583.751913
2023-11-08,2077427552.1519134
2023-11-09,2060202361.401913
2023-11-10,2025914566.4324386
2023-11-13,1986727409.4824383
2023-11-14,1991881111.0925627
2023-11-15,1996468848.1094623
2023-11-16,1981455534.7384524
2023-11-17,1982432354.9015148
2023-11-20,1984653932.114984
2023-11-21,2009999569.732064
2023-11-22,2018008366.1820638
2023-11-23,1997418186.9038098
2023-11-24,2028520521.3538096
2023-11-27,2027184152.85381
2023-11-28,2049653847.0538096
2023-11-29,2070830728.10381
2023-11-30,2076406192.85381
2023-12-01,2054729308.5038097
2023-12-04,2064472872.1538103
2023-12-05,2083230893.4243076
2023-12-06,2096841422.9782572
2023-12-07,2108321426.1782577
2023-12-08,2119751554.128258
2023-12-11,2113950882.928258
2023-12-12,2128814472.7299619
2023-12-13,2164277419.1450124
2023-12-14,2195490673.095012
2023-12-15,2174284712.645013
2023-12-18,2169833272.895012
2023-12-19,2160599427.325318
2023-12-20,2153027751.3253174
2023-12-21,2140070874.8966527
2023-12-22,2152075011.715128
2023-12-25,2162552330.92554
2023-12-26,2188017012.72554
2023-12-27,2205537066.37554
2023-12-28,2183950849.0255404
2023-12-29,2170546465.2233543
2024-01-02,2140088330.1354165
2024-01-03,2093576810.222972
2024-01-04,2077221332.9153697
2024-01-05,2072291230.8153696
2024-01-08,2076321087.0653696
2024-01-09,2069369333.6653693
2024-01-10,2054016331.4653695
2024-01-11,2051429534.4246943
2024-01-12,2061296801.6746945
2024-01-15,2078632634.8246944
2024-01-16,2044023215.124695
2024-01-17,2000619245.9746943
2024-01-18,2018824642.3246944
2024-01-19,2043755341.7219408
2024-01-22,2060181648.386616
2024-01-23,2075930126.3197255
2024-01-24,2073859700.4885383
2024-01-25,2065679322.643031
2024-01-26,2036456343.5319812
2024-01-29,2061504991.7103431
2024-01-30,2081054434.8603435
2024-01-31,2081750125.937618
2024-02-01,2138614154.237619
2024-02-02,2139092314.799293
2024-02-05,2133309931.8492935
2024-02-15,2163854125.5474057
2024-02-16,2178455690.147406
2024-02-19,2180623781.334831
2024-02-20,2186634112.184831
2024-02-21,2193132620.534831
2024-02-22,2233771917.784831
2024-02-23,2261660951.184831
2024-02-26,2244682961.234831
2024-02-27,2208763926.4400806
2024-02-29,2251274491.740081
2024-03-01,2257654291.140081
2024-03-04,2267887391.9400806
2024-03-05,2303517102.982335
2024-03-06,2314955066.682335
2024-03-07,2269701634.332335
2024-03-08,2199062782.0935044
2024-03-11,2227931883.3435044
2024-03-12,2266409334.8290734
2024-03-13,2303374566.9290733
2024-03-14,2333696036.7290735
2024-03-15,2363080742.4580736
2024-03-18,2434310335.7080736
2024-03-19,2422276447.0723486
2024-03-20,2415617821.9223485
2024-03-21,2496640334.5223484
2024-03-22,2526714161.222348
2024-03-25,2620445108.822348
2024-03-26,2622780313.6223483
2024-03-27,2528545837.222348
2024-03-28,2497527702.7223487
2024-03-29,2530668210.3223486
2024-04-01,2585707109.013898
2024-04-02,2648386301.6760497
2024-04-03,2670793305.3466845
2024-04-08,2651611362.4909697
2024-04-09,2774788130.8069224
2024-04-10,2719423356.1569214
2024-04-11,2704714628.956922
2024-04-12,2841150869.0069222
2024-04-15,2700557057.706922
2024-04-16,2635731324.2569222
2024-04-17,2802045726.4048433
2024-04-18,2802154899.481047
2024-04-19,2725729264.237218
2024-04-22,2581253451.349448
2024-04-23,2575317499.6994486
2024-04-24,2660486175.575699
2024-04-25,2657574687.0319576
2024-04-26,2673383683.460046
2024-04-29,2688253057.964331
2024-04-30,2677903098.209259
2024-05-02,2668733640.298769
2024-05-03,2653191619.7286186
2024-05-06,2664741807.0997887
2024-05-07,2680699223.383094
2024-05-08,2689983951.097406
2024-05-09,2677009154.914653
2024-05-10,2716904796.656158
2024-05-13,2741230000.428442
2024-05-14,2746668215.1897597
2024-05-15,2764613903.4897594
2024-05-16,2806982831.0397615
2024-05-17,2798565797.1897607
2024-05-20,2785583924.23976
2024-05-21,2750433074.7897596
2024-05-22,2758026942.7397604
2024-05-23,2731090434.5397596
2024-05-24,2757168674.288904
2024-05-27,2820980768.388904
2024-05-28,2847356361.388905
2024-05-29,2809083787.7389045
2024-05-30,2784958809.3889046
2024-05-31,2729019861.039339
2024-06-03,2768524585.3393383
2024-06-04,2743816764.4393373
2024-06-05,2782019290.6051784
2024-06-06,2836413934.855178
2024-06-07,2849571000.9551787
2024-06-11,2776148921.2551785
2024-06-12,2747843799.4051785
2024-06-13,2778847467.4206786
2024-06-14,2832500103.8706784
2024-06-17,2818040011.8706775
2024-06-18,2839735763.3206787
2024-06-19,2862615806.4706798
2024-06-20,2899926127.120678
2024-06-21,2889437089.6706786
2024-06-24,2854942135.6893625
2024-06-25,2869365265.5393634
2024-06-26,2864366919.289363
2024-06-27,2860144644.5893626
2024-06-28,2867580748.792415
2024-07-01,2864011671.1399827
2024-07-02,2854293467.30797
2024-07-03,2893173294.640759
2024-07-04,2902292442.6296964
2024-07-05,2884517183.029697
2024-07-08,2857033791.279696
2024-07-09,2837582564.3296967
2024-07-10,2861096797.496689
2024-07-11,2884169431.228411
2024-07-12,2847807041.288093
2024-07-15,2829130560.4880924
2024-07-16,2815886372.938092
2024-07-17,2806648659.418268
2024-07-18,2745728478.502056
2024-07-19,2696025524.5961986
2024-07-22,2626004527.986701
2024-07-23,2697045539.928792
2024-07-26,2665999348.5979743
2024-07-29,2667355437.2680545
2024-07-30,2690729805.3234854
2024-07-31,2705356547.5137057
2024-08-01,2735885963.5997562
2024-08-02,2636403056.6127853
2024-08-05,2449646598.241277
2024-08-06,2488042543.7863154
2024-08-07,2544513745.3878803
2024-08-08,2525626993.599535
2024-08-09,2585256432.0342355
2024-08-12,2618543573.8698106
2024-08-13,2613889916.3987865
2024-08-14,2654757124.596572
2024-08-15,2651696408.3369265
2024-08-16,2699952943.036926
2024-08-19,2690810974.7369256
2024-08-20,2704221357.4430776
2024-08-21,2688780791.609912
2024-08-22,2671375624.6498
2024-08-23,2675302230.7900763
2024-08-26,2711524235.322332
2024-08-27,2723642327.8223314
2024-08-28,2720997196.8530107
2024-08-29,2713798691.7373104
2024-08-30,2726367558.887312
