,symbol,open_date,close_date,open_price,close_price,position_size,exit_reason,profit_loss,change_pct,trade_commission,cumulative_return
68,1229,2021-01-05,2021-01-26,42.5,40.9,234959,Low prediction,-375934.4000000003,-3.764705882352948,56753.171655000006,985069252.1242652
69,2609,2021-01-05,2021-01-28,31.6,20.15,316007,Low prediction,-3618280.150000001,-36.23417721518988,42406.164356249996,981408565.809909
70,9945,2021-01-05,2021-01-28,40.7,39.2,245370,Low prediction,-368055.0,-3.6855036855036882,56792.726775,980983718.0831339
71,2609,2021-01-05,2021-01-28,31.6,20.15,314159,Low prediction,-3597120.5500000007,-36.23417721518988,42158.17430625,977344439.3588277
72,2609,2021-01-06,2021-01-28,32.0,20.15,312761,Low prediction,-3706217.8500000006,-37.03125000000001,42148.84521375,973596072.6636139
73,3045,2021-01-05,2021-01-29,99.1,96.5,100766,Low prediction,-261991.59999999942,-2.6236125126135157,57258.26418,973276822.799434
74,2347,2021-01-05,2021-02-02,46.8,45.3,213371,Low prediction,-320056.5,-3.205128205128205,57000.4623675,972899765.8370664
75,2383,2021-01-05,2021-02-02,157.0,154.0,63603,Low prediction,-190809.0,-1.9108280254777066,57571.845525,972651384.9915414
76,2449,2021-01-05,2021-02-02,34.95,37.4,285717,Low prediction,700006.6499999987,7.010014306151624,61514.512953749996,973289877.1285876
77,2610,2021-01-05,2021-02-02,11.65,11.55,857152,Low prediction,-85715.19999999969,-0.8583690987124415,58037.761920000004,973146124.1666676
78,5871,2021-01-05,2021-02-02,168.0,157.5,59440,Low prediction,-624120.0,-6.25,55655.901,972466348.2656676
79,2610,2021-01-05,2021-02-02,11.65,11.55,852139,Low prediction,-85213.8999999997,-0.8583690987124415,57698.331690000006,972323436.0339775
80,2610,2021-01-06,2021-02-02,11.3,11.55,885696,Low prediction,221424.0,2.212389380530966,59528.73528000001,972485331.2986975
81,2449,2021-01-22,2021-02-02,39.3,37.4,252972,Low prediction,-480646.79999999964,-4.834605597964369,56032.66557,971948651.8331275
82,2610,2021-01-22,2021-02-02,10.1,11.55,984354,Low prediction,1427313.300000001,14.35643564356437,64476.41744250001,973311488.715685
83,2002,2021-01-05,2021-02-03,25.15,23.8,397048,Low prediction,-536014.7999999991,-5.367793240556651,56044.81413,972719429.101555
84,2377,2021-01-05,2021-02-03,132.5,134.0,75364,Low prediction,113046.0,1.132075471698113,58916.74905,972773558.352505
85,3036,2021-01-05,2021-02-03,40.85,41.8,244453,Low prediction,232230.34999999896,2.325581395348819,59445.16384125,972946343.5386637
86,2002,2021-01-12,2021-02-03,25.75,23.8,378890,Low prediction,-738835.4999999998,-7.572815533980581,53805.6952875,972153702.3433763
87,2371,2021-01-05,2021-02-05,26.75,25.55,373300,Low prediction,-447959.9999999997,-4.485981308411214,56434.560750000004,971649307.7826263
88,4904,2021-01-05,2021-02-05,61.2,60.0,163169,Low prediction,-195802.80000000045,-1.9607843137254943,57551.33799,971395953.6446363
89,2371,2021-01-05,2021-02-05,26.75,25.55,371118,Low prediction,-445341.59999999974,-4.485981308411214,56104.691445000004,970894507.3531913
