stock_id,date,pred_pct,true_pct
2308,2022-08-09,0.07110782678528316,0.006584779715955946
2409,2021-11-16,0.08996615476112835,0.10646358147159041
6505,2022-03-15,0.01974147103650714,-7.072984774059154e-05
2884,2021-04-27,-0.024810970949006084,-0.04206660034228216
2892,2021-03-26,0.04159775706100066,0.01837724331931123
2207,2020-03-11,-0.21567119811430358,-0.1654010212357898
9910,2021-06-07,0.0024468541839837155,-0.012295569334686562
3037,2022-10-20,-0.05745918347525025,0.21126014537685545
3711,2022-11-11,0.09304886673507151,0.06608676299677252
4958,2022-01-21,-0.01230246517078415,-0.03997399435077342
2356,2022-04-22,0.0002305834663256512,0.022319565992102497
2357,2021-08-06,-0.029544849707238363,-0.014126973322540426
2379,2021-02-26,0.02909204954999911,0.018401501841370127
